,Player,2023/24,2023/24(*)
453.,Eric Bledsoe,"$1,300,000","$1,300,000"
454.,Skylar Mays,"$1,165,280","$1,165,280"
455.,Mouhamed Gueye,"$1,119,563","$1,119,563"
455.,Jordan Walsh,"$1,119,563","$1,119,563"
455.,Hunter Tyson,"$1,119,563","$1,119,563"
455.,Trayce Jackson-Davis,"$1,119,563","$1,119,563"
455.,Maxwell Lewis,"$1,119,563","$1,119,563"
455.,Andre Jackson Jr,"$1,119,563","$1,119,563"
455.,Chris Livingston,"$1,119,563","$1,119,563"
455.,Rayan Rupert,"$1,119,563","$1,119,563"
455.,Toumani Camara,"$1,119,563","$1,119,563"
455.,Sidy Cissoko,"$1,119,563","$1,119,563"
465.,Dylan Windler,"$1,116,288","$1,116,288"
466.,Trent Forrest,"$1,112,933","$1,112,933"
467.,Lester Quinones,"$1,108,597","$1,108,597"
468.,Kendall Brown,"$1,100,000","$1,100,000"
469.,Stanley Umude,"$1,098,242","$1,098,242"
470.,Gui Santos,"$1,029,483","$1,029,483"
471.,Dominick Barlow,"$1,015,402","$1,015,402"
472.,AJ Lawson,"$1,000,000","$1,000,000"
473.,Ishmail Wainright,"$988,269","$988,269"
474.,Neemias Queta,"$891,035","$891,035"
475.,Jalen Wilson,"$850,000","$850,000"
476.,Javon Freeman-Liberty,"$849,324","$849,324"
477.,Lindy Waters III,"$766,095","$766,095"
478.,Jacob Toppin,"$759,245","$759,245"
479.,Mamadi Diakite,"$710,574","$710,574"
480.,Jack White,"$703,550","$703,550"
481.,Nik Stauskas,"$702,311","$702,311"
482.,Jacob Gilyard,"$701,336","$701,336"
483.,Luka Garza,"$687,465","$687,465"
484.,Keon Ellis,"$683,430","$683,430"
485.,RJ Hampton,"$680,032","$680,032"
486.,TJ Warren,"$649,659","$649,659"
487.,Darius Bazley,"$624,425","$624,425"
488.,Juwan Morgan,"$576,230","$576,230"
489.,Seth Lundy,"$559,782","$559,782"
489.,JD Davison,"$559,782","$559,782"
489.,Amari Bailey,"$559,782","$559,782"
489.,Leaky Black,"$559,782","$559,782"
489.,Adama Sanogo,"$559,782","$559,782"
489.,Isaiah Mobley,"$559,782","$559,782"
489.,Emoni Bates,"$559,782","$559,782"
489.,Greg Brown,"$559,782","$559,782"
489.,Collin Gillespie,"$559,782","$559,782"
489.,Braxton Key,"$559,782","$559,782"
489.,Jay Huff,"$559,782","$559,782"
489.,Jared Rhoden,"$559,782","$559,782"
489.,Malcolm Cazalon,"$559,782","$559,782"
489.,Jerome Robinson,"$559,782","$559,782"
489.,Jermaine Samuels,"$559,782","$559,782"
489.,Nate Hinton,"$559,782","$559,782"
489.,Nate Williams,"$559,782","$559,782"
489.,Isaiah Wong,"$559,782","$559,782"
